author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1416049047102709763,Raelsworld1,1185,5759,IT'S TIME FOR PLAN #ALGO .... @fractitous #ReallyRichFlamingo  @GO0N_SQUAD #goonsquad  @HigherApeCircle #HAC ...  join da #algofam,SIRIUS  XRP12 ,b'...now we re talkin... @lkinc_algo  is changin da shuffle mode... my advice  grab you one of the first 1000... (appr.  70+ to mint)  and you ll get the chance to mint some for 1ALGO.... STEAL DEAL rite #algofam #lkinc #AlgorandNFTs #Algorand https://t.co/3okanZb41f',2022-07-06 20:19:53+00:00,1,0,1,0
1421424500458016772,RogerMa95197435,888,4750,"DISCORD NAME: HeadHoncho#0029

A regular guy trying to learn & invest in crypto. No huge bags of crypto here.
NEW PROJECT ON ALGO : Brutal Fruit 
Link below",#CNFTs #AlgoNFTs,b'I reckon this fella would give anyone a decent match at #Wimbledon. But which of the 4 male semi finalists do you think he is most like?https://t.co/qDsEoRDCZL#AlgoNFTS #AlgorandNFTS #AlgoFam #Algorand https://t.co/93CJZ9ZgKa',2022-07-06 20:01:35+00:00,0,0,0,0
884061924132106241,K999_algo,485,2197,"It's me K999 / $algo / #algofam                              
Discord: K999#6749 / k999wallet.algo 🇨🇵",FleshManGang,b'Which Fleshman from my collection is your favorite ? : @FleshmanGang  : https://t.co/Vcp1XOSsGp#algofam #algo #algorand #algoNFT #AlgorandNFTs https://t.co/Ul4K6867rB',2022-07-06 19:15:45+00:00,1,1,3,1
769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b'Grabbed it of Secondary Last Night ""Fly Solo"" @collection_moo. #WONDERLAND #algofam #Algorand #AlgorandNFTs  #NFTs #nftart #NFTCommunity https://t.co/G73Nxr8tly'",2022-07-06 19:15:12+00:00,1,1,9,5
769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b'Straight Fuego  Every Drop, Primary Grab @collection_moo. #algofam #AlgorandNFTs #Algorand #MooLanders #MooNation #AlgorandNFTs  #nftart #NFTCommunity . https://t.co/74HtjaIh7M'",2022-07-06 19:06:25+00:00,1,1,6,4
769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida",b'Stunned I was able to grab the Collaboration one on primary last night/morning to others. @collection_moo @tornado_ilus #MooLand #MooNation #algofam #AlgorandNFTs #NFTCommunity #NFTCollection #nftart https://t.co/tSzKFRylc6',2022-07-06 18:58:37+00:00,3,4,8,3
1463982986278359043,Rick13Discord,1277,6229,Super Dad by day 💪…Crypto/NFT enthusiast by night 📈Bam!Bang Ambassador 🐘 Pyrenees Pack Ambassador 🐺,"Omaha, NE",b'#weirdowednesday #AlgorandNFTs #WeirdoFam #algofam Olivia and I are def Weirdos  https://t.co/VgaMaYnRX4 https://t.co/KCGMOwiTIC',2022-07-06 18:31:37+00:00,0,1,4,0
1262032918085603329,cryptopeye,1453,2472,"#DigitalArtist on the #Algorand Blockchain

https://t.co/qjF0wSd9pm

cryptopeye.algo",,"b'JUMP #02 #NFTart sold today, congratulations to the new owner :)#Algorand #AlgorandNFTs #NFT #NFTCommunity https://t.co/IwL5Dfq5d5'",2022-07-06 18:17:24+00:00,2,0,6,6
1515091341876805636,HawkLandnft,425,59,Hawk Land NFT | #Algofam #algo #algorand #AlgoNFT | E&E,United states,"b'Hello #algofam are you there? We are coming, be at your place.Coming soon...Link: https://t.co/Ql4EX8MQBE#algofam #algorand #ALGO #ALGONFT #AlgorandNFTs #AlgoNFTs #algofams #nftart #NFT #NFTs #NFTartist #NFTProject #HAWK https://t.co/nVc4Turxz3'",2022-07-06 17:58:32+00:00,1,0,1,4
1460334807058194441,AlgoStarface,2523,1379,"Ⱥlgo Starface is a creation that interconnects our passion for NFT, social human interactions and environmental awareness.

300 1/1 NFTs on #ALGO 

$ALGO",Algorand,b'+ also a @AOWLs_HootGang #2941 in the public channel for everyone!Join our discord to participate!#algofam #AlgorandNFTs #AlgoNFT https://t.co/GseO0gGQQt',2022-07-06 17:50:48+00:00,0,2,6,0
